Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,414.371,491.378,689.396,707.731,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.841,2126.86,1987.514,2390.884,2159.863,2240.537,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2960,2740,1430,1360,1300,1250,1180,1100,1050,820,770,810,1100,1350,1130,1640,1940,2360,4390,6000,8670,12260,10450,8510,7810,7990,7390,7380,7440,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,2024.184,2280.874,2464.224,2082.856,2016.85,2174.531,2552.232,2680.577,3072.946,3245.295,3744.007,4352.729,5643.513,5291.481,4345.395,4594.751,4950.45,5720.52,6494.257,7587.023,5170.47,7341.334,7308.331,7631.027,7825.378,7880.383,8056.399,7444.01,7326.666,8984.15,6050,4110,2240,2070,2140,1950,1970,1480,1800,2970,3170,3220,3750,4110,4290,4070,4050,4220,4170,4320,4580,5040,4580,4790,5220,5070,4930,5600,5560,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,6160.56,6065.218,5669.182,5427.16,5650.847,6596.933,8430.433,8441.434,9061.157,11276.025,15075.037,18668.697,28349.577,38312.816,31906.567,32031.245,39170.894,41891.808,62529.684,45621.147,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,67890,66940,66160,73470,71550,73050,71410,72830,74540,77540,78590,74770,80410,83840,84890,88990,93750,100520,103990,112770,113140,118140,126640,129910,138810,145970,143350,145100,151670,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,410,410,410,410,410,430,450,470,490,510,520,520,530,530,560,580,550,540,540,520,520,490,490,480,460,470,470,470,460,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,550.05,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.743,4880.777,4873.443,4415.068,3285.632,3534.988,5412.492,5504.167,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,6330,6530,6370,6900,6690,10780,11410,11730,11370,12650,12370,12910,13620,18010,19290,18210,20340,23490,25080,27150,28530,29460,30250,32820,34630,35160,35410,30840,27340,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,36.67,47.671,102.676,84.341,91.675,150.347,348.365,564.718,990.09,1257.781,462.042,425.372,374.034,330.03,429.039,707.731,403.37,465.709,491.378,407.037,143.013,106.343,293.36,84.341,146.68,249.356,249.356,275.025,286.026,286.026,210,220,290,250,250,270,280,300,330,330,330,350,390,410,400,410,440,460,480,1390,490,510,720,470,480,490,500,500,530,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,48815.104,51180.319,53695.881,50083.886,55727.399,58866.351,63138.406,65543.958,69082.613,77329.696,82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.404,100791.162,102639.33,110703.063,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,99840,105320,107350,111030,113810,113810,126560,127320,133170,134190,131910,124870,117470,128360,141850,146320,155370,163630,168150,157440,168140,177260,178530,184000,179910,186090,184280,180120,177410,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19850,20690,10890,5040,2740,3510,2570,3340,3470,3110,3560,3600,3120,3500,3760,4460,4490,5200,5690,4510,4340,4940,5720,5500,5480,5340,5070,5320,5550,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179.683,447.374,612.389,649.059,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,88202.351,90589.568,94912.961,101029.517,108979.573,120966.996,120332.605,129265.417,134622.904,142257.598,147618.752,152774.554,157486.649,170992.21,172356.334,175883.988,174244.839,187787.07,202015.03,205069.641,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,263600,264710,268360,272360,278670,289010,299590,306770,327660,333040,338810,344960,352890,351990,365270,369510,375060,385370,388500,394950,387350,385770,385770,379270,369880,375970,383960,387200,386620,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,30821.135,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.396,50692.608,52155.741,56193.108,60164.469,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,58270,62420,57670,57800,58290,61180,64900,64220,64670,63050,63530,67910,69370,74460,75800,76240,74100,71240,70730,64420,69960,68270,65110,65750,61990,63150,63390,65830,63180,..,..,..
